Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
9.4314632398,0.0095682642,0,0,2,3,511
20.854603752,0.0079163578,0,1,14,15,
20.2886926745,0.0064794734,0,1,4,5,
9.9999989101,0.0017888983,0,3,264,265,
7.0206763071,0.0063743947,0,3,6,7,
0.098923219,0.0062386144,0,5,8,9,
29.9571277996,0.0019596861,0,5,268,269,
17.7089449717,0.0034868345,0,6,10,11,
123.3843096455,0.0056089858,0,6,12,13,
28.9109576855,0.0019146429,0,8,18,19,
0.5506546232,0.0031514007,0,8,66,67,
0.00000189,0.0000167,1,9,,,
47.0519383426,0.0056089847,0,9,20,21,
3.765574264,0.0062639547,0,2,26,27,
38.0194510109,0.0057162425,0,2,16,17,
30.4314841872,0.0055370401,0,15,22,23,
46.142232997,0.0020448835,0,15,42,43,
0.0000885,0.0000472,1,10,,,
14.1883223894,0.0019145697,0,10,96,97,
89.9223185971,0.0055299047,0,13,28,29,
35.7518877413,0.0014651796,0,13,36,37,
42.1525906729,0.0050535973,0,16,24,25,
8.8885062957,0.0029328818,0,16,60,61,
0.0008065724,0.0000762,1,22,,,
16.0192395179,0.0050535408,0,22,30,31,
46.7404218985,0.0030591997,0,14,40,41,
15.5900701341,0.0058233403,0,14,34,35,
0.00000526,0.0000238,1,20,,,
22.606760297,0.005529902,0,20,38,39,
7.4561830837,0.004749849,0,25,50,51,
35.2051602573,0.0023247584,0,25,32,33,
0.0001032979,0.0000519,1,31,,,
1.5748829459,0.0023246892,0,31,90,91,
10.5978453151,0.0033747865,0,27,44,45,
27.6797483428,0.0051746099,0,27,46,47,
0.001183486,0.0014640898,1,21,,,
27.6185911663,0.0001184563,1,21,,,
1.7315295586,0.0042365222,0,29,62,63,
46.1330885174,0.0041444839,0,29,56,57,
0.0003687765,0.0000632,1,26,,,
14.9276479426,0.0030591245,0,26,48,49,
0.0015795881,0.0001040539,1,17,,,
0.0808793712,0.0020444056,0,17,318,319,
34.0104291134,0.0031096403,0,34,54,55,
39.1816421914,0.0017183492,0,34,76,77,
0.0001298893,0.0000463,1,35,,,
2.4282119424,0.0051745943,0,35,52,53,
0.0115085679,0.0018671577,0,41,278,279,
0.2831839963,0.0026659053,0,41,122,123,
10.6183408002,0.0032763622,0,30,86,87,
43.0948401655,0.0038844909,0,30,64,65,
45.3770280997,0.0048709231,0,47,70,71,
11.6764179607,0.0023589713,0,47,154,155,
0.0009545688,0.000081,1,44,,,
0.5777181339,0.0031095042,0,44,74,75,
0.0005631311,0.0000837,1,39,,,
1.4621196168,0.0041443877,0,39,58,59,
18.858840771,0.0026738073,0,57,102,103,
0.0478771719,0.0035217959,0,57,72,73,
24.4822641834,0.0013076603,0,23,80,81,
0.120545633,0.0027704757,0,23,162,163,
3.3261241086,0.0039115371,0,38,106,107,
21.5935940648,0.0021378164,0,38,100,101,
0.000251362,0.0000616,1,51,,,
14.0499473943,0.0038844418,0,51,78,79,
0.6078473108,0.0030408359,0,11,68,69,
21.0304869258,0.0011779318,0,11,88,89,
29.1307895136,0.0026093678,0,66,92,93,
26.2256788782,0.0019226602,0,66,158,159,
0.004592594,0.0001171154,1,52,,,
7.5206967247,0.0048707484,0,52,82,83,
18.9463346157,0.0024361555,0,59,130,131,
30.2471419957,0.0028748221,0,59,156,157,
10.7027176112,0.0029225209,0,55,98,99,
14.7562359801,0.0014307964,0,55,136,137,
0.00203407,0.0001172155,1,45,,,
0.2232612866,0.0017175136,0,45,300,301,
0.2213639638,0.0034316735,0,65,118,119,
1.8279008518,0.0022885473,0,65,116,117,
0.0002154044,0.0013073086,1,60,,,
25.6337088046,0.0000704,1,60,,,
41.9504703665,0.0041428536,0,71,104,105,
0.1029294656,0.0031366501,0,71,84,85,
0.2998711357,0.0028389349,0,83,140,141,
28.8510348896,0.0017138017,0,83,94,95,
7.1544844072,0.0025744515,0,50,128,129,
0.1679896667,0.0023862333,0,50,182,183,
0.0001135098,0.0011776022,1,67,,,
12.6742280391,0.0000644,1,67,,,
10.9057615729,0.0021639963,0,33,110,111,
22.5228853012,0.0011278621,1,33,,,
0.000521985,0.0000703,1,68,,,
2.2457021373,0.0026092436,0,68,134,135,
0.0000655,0.0000501,1,85,,,
1.0891189436,0.0017137016,0,85,152,153,
32.4662813686,0.0018041682,0,19,192,193,
7.6596608274,0.0008669706,1,19,,,
