Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
5.316380082,0.008523186,0,0,2,3,511
0.0289387774,0.004643624,0,1,4,5,
41.8731860642,0.0077204153,0,1,8,9,
56.5632357746,0.0032035226,0,2,6,7,
63.8859171371,0.0037972835,0,2,12,13,
0.0001454798,0.0000513,1,4,,,
13.5325096651,0.0032034809,0,4,48,49,
0.0002135026,0.0000515,1,3,,,
30.0210822495,0.0077204041,0,3,10,11,
2.458286257,0.0074019545,0,9,14,15,
4.8932271581,0.0030729509,0,9,42,43,
0.0000233,0.0000315,1,5,,,
22.1912551719,0.0037972739,0,5,16,17,
0.1002920513,0.0061181103,0,10,18,19,
0.092426643,0.0050204883,0,10,20,21,
0.2943835387,0.0026434404,0,13,52,53,
9.1896255179,0.0030865409,0,13,46,47,
0.0096690541,0.0052376847,0,14,22,23,
22.0013899394,0.00388773,0,14,30,31,
0.0353643001,0.0031079676,0,15,36,37,
33.328566523,0.004349164,0,15,26,27,
33.3311618795,0.0047655807,0,18,28,29,
58.1832805079,0.0028074146,0,18,24,25,
0.0000156,0.0000318,1,23,,,
7.9826830376,0.0028073993,0,23,32,33,
0.0001334477,0.0000485,1,21,,,
8.0395073351,0.0043491412,0,21,40,41,
0.1883615852,0.0024948892,0,22,84,85,
10.6145338978,0.0043623349,0,22,62,63,
0.00000925,0.0000245,1,19,,,
7.3479442064,0.003887725,0,19,34,35,
12.7913410344,0.0017911885,0,25,170,171,
3.946008478,0.002398752,0,25,136,137,
67.1768090691,0.0028054597,0,31,38,39,
19.758450756,0.0030777871,0,31,50,51,
0.1076534231,0.0027467689,0,20,138,139,
39.3686498492,0.0018291256,0,20,66,67,
0.0002071529,0.0000637,1,34,,,
16.6509883331,0.0028053725,0,34,120,121,
19.6230069633,0.0030128213,0,27,44,45,
15.5713033639,0.0035467715,0,27,58,59,
0.2488167929,0.0027496874,0,11,108,109,
0.4612802768,0.0017438917,0,11,98,99,
0.1217545148,0.0020258961,0,40,96,97,
6.4955804066,0.0025032026,0,40,56,57,
1.5599359762,0.0014377578,0,17,306,307,
21.7110248498,0.0028948691,0,17,78,79,
0.0312846172,0.0026553164,0,7,92,93,
1.1093967221,0.002162706,0,7,112,113,
0.0527169873,0.0025320956,0,35,88,89,
0.2466642889,0.0021033647,0,35,70,71,
27.1793197671,0.0024669353,0,16,74,75,
23.2966082661,0.0012657809,0,16,54,55,
0.0000189,0.0012655901,1,53,,,
5.6678475335,0.000054,1,53,,,
25.1489858078,0.0023741181,0,45,72,73,
7.6025696024,0.0010860046,0,45,76,77,
0.3160099383,0.0011598291,0,41,310,311,
4.6293512764,0.0034583708,0,41,60,61,
21.539551854,0.0033389792,0,59,64,65,
9.7694058698,0.0012845706,0,59,68,69,
0.1695829496,0.003601013,0,29,100,101,
0.2088988738,0.0029651125,0,29,132,133,
0.0025964866,0.0001138193,1,60,,,
4.0687911229,0.0033386926,0,60,130,131,
0.0001904039,0.0000647,1,37,,,
8.3355188115,0.0018289535,0,37,368,369,
0.0000569,0.0000506,1,61,,,
5.3065623295,0.0012844125,0,61,126,127,
4.5709180181,0.0019864408,0,51,104,105,
15.7427976709,0.0009392012,1,51,,,
0.000289222,0.000072,1,56,,,
0.1354983743,0.0023739661,0,56,118,119,
0.0006628974,0.0000833,1,52,,,
18.0748237942,0.0024667284,0,52,82,83,
0.030185772,0.0010731923,1,57,,,
8.1992535235,0.0002643532,1,57,,,
7.8212645675,0.0019020426,0,47,182,183,
4.0947806565,0.0024367648,0,47,80,81,
10.4410006399,0.0021004887,0,79,258,259,
0.198107252,0.0015255676,0,79,124,125,
1.5563965546,0.0022149967,0,75,236,237,
4.1090250669,0.0013843297,0,75,106,107,
0.1328520033,0.0016811396,0,28,110,111,
3.6223408598,0.0020703138,0,28,86,87,
15.3133405804,0.0013473513,0,85,90,91,
4.3685281722,0.0017515101,0,85,142,143,
1.3000737962,0.0024690827,0,50,94,95,
9.5281957518,0.0008275162,1,50,,,
0.0010292888,0.0001045325,1,86,,,
5.9387017466,0.0013464473,0,86,230,231,
2.3889837013,0.0022886856,0,48,128,129,
0.672572832,0.0016627087,0,48,366,367,
22.1475372911,0.0019419288,0,88,114,115,
14.3094225623,0.0017962465,0,88,380,381,
0.1820396116,0.0018608295,0,44,134,135,
0.3395731346,0.0010457096,0,44,454,455,
26.7196163866,0.0014455532,0,43,188,189,
6.7628627274,0.0011772285,0,43,400,401,
