Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
1.056355301,0.0018279986,0,84,170,171,
0.9597639209,0.0012065233,0,84,162,163,
6.2172035025,0.0009946192,0,95,188,189,
0.1615719401,0.0011862547,0,95,306,307,
2.0389324533,0.0013742349,0,79,316,317,
5.2458973368,0.0012095753,0,79,184,185,
2.9558131295,0.0012564129,0,61,396,397,
9.8358658435,0.001460624,0,61,182,183,
0.1365806191,0.0010493958,0,119,452,453,
0.8040661672,0.0010563048,0,119,364,365,
7.9088913783,0.0008236556,1,117,,,
5.0523050027,0.0014169834,0,117,276,277,
0.7606371504,0.00155943,0,126,236,237,
0.6700597888,0.0011179071,0,126,326,327,
4.2804226861,0.0016900795,0,111,284,285,
3.399007218,0.0012655059,0,111,422,423,
6.5572371473,0.0008768802,1,130,,,
5.2659795242,0.0017453058,0,130,282,283,
0.8086411943,0.0016730043,0,129,392,393,
5.445997261,0.0010510355,0,129,168,169,
12.3435429786,0.0008586515,1,143,,,
7.72406119,0.0009654182,1,143,,,
5.8699831491,0.0028356017,0,46,176,177,
0.6870067702,0.0019941606,0,46,220,221,
6.7684529033,0.000704687,1,127,,,
2.7215015168,0.0011877938,0,127,350,351,
0.0568253997,0.0010197295,1,161,,,
3.3305277166,0.0003685466,1,161,,,
1.7137982302,0.0012265124,0,142,310,311,
0.1109562512,0.0015207384,0,142,212,213,
4.8276736937,0.0013074124,0,120,302,303,
11.2828162297,0.0010416281,1,120,,,
1.7638870564,0.0016059761,0,112,226,227,
5.4134990135,0.0014008553,0,112,194,195,
5.5387956815,0.0014911397,0,164,280,281,
0.4120215856,0.0025927805,0,164,180,181,
0.5636931984,0.0013467805,0,86,290,291,
2.5760764611,0.0006991873,1,86,,,
11.1416524141,0.0025000663,0,177,186,187,
0.8628626503,0.0009763377,0,177,472,473,
0.0069435141,0.0001571514,1,149,,,
1.4463157983,0.001458403,0,149,198,199,
1.0344574016,0.0010370612,1,147,,,
3.4720665331,0.0007661884,1,147,,,
0.213905615,0.0003450211,1,180,,,
6.1928976642,0.0024929759,0,180,214,215,
0.0056297702,0.0009857245,1,144,,,
2.401543904,0.000216898,1,144,,,
1.0269109706,0.0008699294,1,135,,,
2.1527442638,0.000722968,1,135,,,
0.0385889633,0.0002790356,1,104,,,
0.5571136054,0.0011395246,0,104,318,319,
6.9978412468,0.0008926486,1,175,,,
3.0020895364,0.0011976744,0,175,466,467,
7.521546149,0.0007543895,1,114,,,
4.5910880555,0.0008534803,1,114,,,
8.9091509862,0.0013523938,0,183,330,331,
2.8195483831,0.0007211474,1,183,,,
2.4451814863,0.0012713256,0,139,346,347,
9.8369039944,0.0010053306,0,139,254,255,
7.2238170621,0.0014063205,0,94,232,233,
0.2890686556,0.0009880898,0,94,358,359,
0.7940114251,0.001855939,0,59,356,357,
7.0212118508,0.0014143432,0,59,348,349,
0.0004627491,0.0000943,1,65,,,
0.1082604623,0.0012251236,0,65,230,231,
0.1215025783,0.0003105154,1,113,,,
1.6056057204,0.0017438363,0,113,210,211,
0.4026948305,0.0014866355,0,209,228,229,
1.7107397018,0.0011178002,0,209,244,245,
1.3592554286,0.0011562558,0,171,260,261,
