Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
9.5585385535,0.001879349,0,116,178,179,
9.2549396906,0.0010436059,1,116,,,
1.6693615356,0.0007211296,1,105,,,
3.4724035119,0.0014952266,0,105,180,181,
0.1301022564,0.001802129,0,130,162,163,
2.1642682639,0.0013693438,0,130,344,345,
9.3878668157,0.0008964678,1,58,,,
12.4518201747,0.0021912222,0,58,216,217,
1.6328575386,0.0025558112,0,127,184,185,
25.8439072434,0.0017366274,0,127,234,235,
10.0000013388,0.0014149811,0,131,278,279,
4.3338406297,0.0015347173,0,131,164,165,
8.6174581424,0.0019367854,0,91,296,297,
4.8107391203,0.0008929991,1,91,,,
0.7993184398,0.001866336,0,68,158,159,
0.0315487542,0.0019471147,0,68,274,275,
0.0917400112,0.0016865283,0,156,300,301,
13.524086998,0.0010253782,1,156,,,
0.6706079167,0.0012046077,0,135,386,387,
3.3922510976,0.0028144493,0,135,168,169,
10.8704376958,0.0011933951,0,146,250,251,
26.9271217023,0.0015104575,0,146,206,207,
7.053962665,0.0013414762,0,153,458,459,
6.5937712456,0.0009297939,1,153,,,
21.6260525709,0.0026464101,0,110,170,171,
11.6993885247,0.0010457621,1,110,,,
3.7336637525,0.002416366,0,161,294,295,
1.2615211912,0.0017775219,0,161,200,201,
1.7900823246,0.0024692556,0,166,182,183,
17.3325491098,0.001268429,1,166,,,
0.4210653328,0.0022780115,0,60,176,177,
5.6170531043,0.0017340323,0,60,382,383,
11.2675945492,0.0020879747,0,97,240,241,
12.3048369878,0.0013467817,0,97,324,325,
5.2093875766,0.0020689316,0,172,210,211,
13.0187082816,0.0012292595,0,172,368,369,
8.0436369938,0.0010995115,1,142,,,
0.0727360353,0.001664468,0,142,366,367,
3.2237419292,0.0013068542,1,145,,,
13.9528590524,0.0009060484,1,145,,,
13.3740138969,0.0023109839,0,170,302,303,
11.7677686234,0.0011641607,1,170,,,
26.1483306645,0.0022600819,0,150,248,249,
20.4259946704,0.001501771,0,150,336,337,
4.2210285489,0.0014313995,0,117,406,407,
8.7069234934,0.0011566735,1,117,,,
20.8850589433,0.0009852505,1,138,,,
26.4621036112,0.0009286445,1,138,,,
11.2666374171,0.0019516856,0,67,208,209,
13.7339606687,0.0009909983,1,67,,,
0.3221240973,0.0017556619,0,137,222,223,
10.7640377135,0.0016231603,0,137,268,269,
10.3480820471,0.0022753272,0,75,338,339,
0.8389830633,0.0019289738,0,75,230,231,
0.1432468272,0.0016095828,0,69,198,199,
20.3433881461,0.0018009499,0,69,304,305,
22.2584820154,0.0013700318,0,196,272,273,
18.7237416973,0.0010350315,1,196,,,
