Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
2.9417526406,0.001812748,0,97,164,165,
18.3153659164,0.0024469479,0,97,152,153,
0.0021906209,0.0001502192,1,138,,,
8.5755224159,0.0021700257,0,138,338,339,
2.201926754,0.0015677326,0,83,438,439,
1.9730106113,0.000797939,1,83,,,
10.0000038852,0.0015412009,0,113,284,285,
2.3811795478,0.0013857851,0,113,186,187,
0.1418177098,0.0013969868,0,135,388,389,
9.2750423187,0.0008593501,1,135,,,
0.0260774182,0.0002261178,1,143,,,
4.6807646543,0.0024444052,0,143,212,213,
5.7296237491,0.0015664564,0,29,276,277,
13.2996227402,0.0009769369,1,29,,,
6.7022743325,0.0012073796,0,86,240,241,
10.2197757802,0.0008774874,1,86,,,
4.8369322764,0.0010654372,0,112,416,417,
7.0480640406,0.0020608375,0,112,226,227,
9.7868568567,0.0021600401,0,140,216,217,
8.7847193244,0.0009309948,1,140,,,
5.4020375455,0.000798553,1,74,,,
12.9595167462,0.0020863515,0,74,200,201,
6.2149607444,0.0008281813,1,142,,,
1.5245779895,0.0017057611,0,142,210,211,
0.0021884354,0.0001149937,1,134,,,
3.4101495164,0.0021080837,0,134,168,169,
2.2558611645,0.0016830392,0,167,294,295,
7.0183192894,0.0015047535,0,167,192,193,
6.4135177697,0.0008819307,1,111,,,
9.5003672465,0.0013978288,0,111,500,501,
13.5810241296,0.001608928,0,118,270,271,
4.7916742076,0.0011558681,0,118,336,337,
0.0009264865,0.0000881,1,94,,,
2.402861933,0.0015561307,0,94,380,381,
12.4239663836,0.0015381149,0,90,224,225,
30.3192917278,0.0016813165,0,90,190,191,
0.2618034713,0.001370113,0,125,292,293,
1.8399091475,0.0014316689,0,125,402,403,
18.1964465363,0.000809764,1,123,,,
7.773340383,0.0010016204,1,123,,,
0.9365392132,0.0017078129,0,117,290,291,
1.0858651855,0.001136805,0,117,214,215,
0.0001952298,0.0000663,1,99,,,
0.1388435315,0.001852471,0,99,282,283,
8.2449077922,0.0009680198,1,149,,,
3.6066933363,0.0011237681,0,149,302,303,
5.3840782105,0.0014573594,0,137,308,309,
4.2680608107,0.0012474348,0,137,206,207,
0.0003637619,0.000089,1,177,,,
2.8781182093,0.0016808829,0,177,398,399,
4.1480166387,0.0013049427,0,169,274,275,
5.3673965886,0.000929204,1,169,,,
4.0520485653,0.0009759419,1,105,,,
8.8373131274,0.000803087,1,105,,,
0.0691446453,0.0019620117,0,47,250,251,
14.3393203307,0.0015233568,0,47,328,329,
6.7420800965,0.000823671,1,77,,,
7.2512819403,0.0020924753,0,77,280,281,
0.6951869599,0.0019560472,0,163,252,253,
8.8770338572,0.0009739744,1,163,,,
2.5543780101,0.0012743247,0,107,386,387,
0.1897866677,0.0018506953,0,107,248,249,
6.0693760623,0.0015608353,0,139,320,321,
4.4417595804,0.0013297273,0,139,314,315,
4.8404090505,0.0007694334,1,189,,,
8.2403726154,0.0010823164,0,189,364,365,
5.7391052046,0.0018258893,0,120,330,331,
8.0067640851,0.0012233151,0,120,382,383,
5.4943538509,0.0008143902,1,165,,,
9.1082295715,0.0015927433,0,165,316,317,
0.0805987936,0.0020625845,0,153,236,237,
1.6818159025,0.0015987832,0,153,242,243,
8.8684563078,0.000843526,1,183,,,
7.5211709851,0.0008790005,1,183,,,
1.8681121261,0.0014497291,0,160,478,479,
6.3759817921,0.0017966566,0,160,272,273,
10.9832557001,0.0008752478,1,109,,,
1.3286914601,0.0011017759,0,109,490,491,
0.004580359,0.0001376151,1,128,,,
1.4195870625,0.0016528931,0,128,358,359,
3.678832648,0.0011798357,0,87,266,267,
10.4670642046,0.0010841583,0,87,498,499,
4.239335865,0.0011715387,0,176,454,455,
6.6474463047,0.0011597629,0,176,342,343,
0.8208927102,0.0005427762,1,159,,,
2.5267587772,0.0020311722,0,159,244,245,
1.6445797423,0.0006393568,1,124,,,
4.1431859661,0.0014904818,0,124,254,255,
1.4995538891,0.0013589933,0,141,268,269,
3.7429398511,0.0007235123,1,141,,,
12.7135661132,0.0012652505,0,121,430,431,
8.4614132392,0.0009411092,1,121,,,
0.000712603,0.0000893,1,100,,,
1.9084040462,0.0021331646,0,100,264,265,
18.8962556804,0.001866189,0,212,324,325,
5.4485798511,0.0011282856,0,212,238,239,
0.0026605903,0.0011232277,1,237,,,
3.4700258411,0.0001869085,1,237,,,
7.4080790671,0.0009226042,1,156,,,
7.9191054282,0.0009073457,1,156,,,
0.3911969616,0.0013799298,0,213,318,319,
8.0909048437,0.0009980532,1,213,,,
7.7967471699,0.0015182316,0,227,378,379,
0.2960148894,0.0015600243,0,227,486,487,
8.8295214896,0.0008937998,1,115,,,
7.6504007023,0.0009264105,1,115,,,
8.1855330283,0.0012233198,0,203,436,437,
1.1178694429,0.0015527308,0,203,256,257,
0.0746040943,0.0014560793,0,196,286,287,
2.1962494319,0.0015168431,0,196,392,393,
